"disease_id","pathway_id","evidence","weight"
"45","930","context_pathway_projection","0.590216875076294"
"45","1008","context_pathway_projection","0.5082423090934753"
"46","199","context_pathway_projection","0.5114386081695557"
"46","284","context_pathway_projection","0.5010010600090027"
"46","285","context_pathway_projection","0.5114386081695557"
"46","286","context_pathway_projection","0.5114386081695557"
"46","434","context_pathway_projection","0.404337078332901"
"46","518","context_pathway_projection","0.5389408469200134"
"46","524","context_pathway_projection","0.46743258833885193"
"46","528","context_pathway_projection","0.5273733735084534"
"46","625","context_pathway_projection","0.5218760967254639"
"46","631","context_pathway_projection","0.4337816536426544"
"46","653","context_pathway_projection","0.4801260232925415"
"46","668","context_pathway_projection","0.4379880130290985"
"47","3","disease_pathway_prior","0.75"
"47","5","disease_pathway_prior","0.75"
"47","80","disease_pathway_prior","0.75"
"47","484","context_pathway_projection","0.49282026290893555"
"47","625","context_pathway_projection","0.4665781855583191"
"47","967","context_pathway_projection","0.5013172030448914"
"47","968","context_pathway_projection","0.49282026290893555"
"47","969","context_pathway_projection","0.5098140835762024"
"47","970","context_pathway_projection","0.4652053713798523"
"47","1011","context_pathway_projection","0.49282026290893555"
"47","1012","context_pathway_projection","0.460956871509552"
"47","1013","context_pathway_projection","0.49282026290893555"
"48","44","context_pathway_projection","0.6434457898139954"
