"drug_id","pathway_id","weight","evidence"
"21","131","0.4519747844050235","pathway_prior_projection"
"21","132","0.44414204675869756","pathway_prior_projection"
"21","133","0.3727087910286258","pathway_prior_projection"
"21","134","0.4500811555234941","pathway_prior_projection"
"21","136","0.5390202314981801","pathway_prior_projection"
"21","139","0.41416778699544216","pathway_prior_projection"
"21","140","0.4841705741548349","pathway_prior_projection"
"21","141","0.5141325376266518","pathway_prior_projection"
"21","142","0.36030593173098996","pathway_prior_projection"
"21","143","0.46265206413745613","pathway_prior_projection"
"21","145","0.42976904832169277","pathway_prior_projection"
"21","146","0.39118601829688165","pathway_prior_projection"
"21","147","0.39118601829688165","pathway_prior_projection"
"21","151","0.494245335606781","pathway_prior_projection"
"21","153","0.38594779814407976","pathway_prior_projection"
"21","154","0.5871889038266059","pathway_prior_projection"
"21","155","0.5871889038266059","pathway_prior_projection"
"21","156","0.3340492507459751","pathway_prior_projection"
"21","157","0.5871889038266059","pathway_prior_projection"
"21","158","0.4511099452405155","pathway_prior_projection"
"21","159","0.5029912495632697","pathway_prior_projection"
"21","160","0.37856182575335273","pathway_prior_projection"
"21","168","0.49080237400400034","pathway_prior_projection"
"21","169","0.5920418401810014","pathway_prior_projection"
"21","170","0.5896153720038037","pathway_prior_projection"
"21","171","0.5472942693816878","pathway_prior_projection"
"21","172","0.5249204839820311","pathway_prior_projection"
"21","173","0.46265206413745613","pathway_prior_projection"
"21","179","0.4926550152474014","pathway_prior_projection"
"21","180","0.41714758828737253","pathway_prior_projection"
"21","182","0.3392546807882743","pathway_prior_projection"
"21","184","0.46265206413745613","pathway_prior_projection"
"21","192","0.5223956454733254","pathway_prior_projection"
"21","193","0.6782060530543988","pathway_prior_projection"
"21","194","0.5196494737187264","pathway_prior_projection"
"21","195","0.36109289438305403","pathway_prior_projection"
"21","196","0.3696757058071286","pathway_prior_projection"
"21","198","0.46265206413745613","pathway_prior_projection"
"21","199","0.39056300619733086","pathway_prior_projection"
"21","200","0.5399219595370036","pathway_prior_projection"
"21","201","0.5105788257526837","pathway_prior_projection"
"21","202","0.5380491970894306","pathway_prior_projection"
"21","203","0.6097143434873376","pathway_prior_projection"
"21","204","0.48923391371828917","pathway_prior_projection"
"21","205","0.4373626914122701","pathway_prior_projection"
"21","206","0.45956979375020496","pathway_prior_projection"
"21","207","0.4663846717163436","pathway_prior_projection"
"21","208","0.4661114207954881","pathway_prior_projection"
"21","209","0.6337747080934936","pathway_prior_projection"
"21","210","0.44980068297115877","pathway_prior_projection"
"21","211","0.5459990600168323","pathway_prior_projection"
"21","212","0.5004902902237066","pathway_prior_projection"
"21","213","0.41714758828737253","pathway_prior_projection"
"21","215","0.3340492507459751","pathway_prior_projection"
"21","217","0.3340492507459751","pathway_prior_projection"
"21","218","0.41714758828737253","pathway_prior_projection"
"21","219","0.4292225464799817","pathway_prior_projection"
"21","221","0.38038714190466816","pathway_prior_projection"
"21","222","0.42547627635505125","pathway_prior_projection"
"21","225","0.5733350821392268","pathway_prior_projection"
"21","226","0.5137472538282454","pathway_prior_projection"
"21","227","0.39118601829688165","pathway_prior_projection"
"21","230","0.5175918942846838","pathway_prior_projection"
"21","238","0.5364380102960947","pathway_prior_projection"
"21","249","0.3798187799892886","pathway_prior_projection"
"21","250","0.39118601829688165","pathway_prior_projection"
"21","251","0.4203145664600889","pathway_prior_projection"
"21","252","0.4665212971767714","pathway_prior_projection"
"21","253","0.6570482342525494","pathway_prior_projection"
"21","254","0.5323583740477206","pathway_prior_projection"
"21","255","0.532429419287143","pathway_prior_projection"
"21","256","0.532429419287143","pathway_prior_projection"
"21","257","0.532429419287143","pathway_prior_projection"
"21","259","0.48259079347383116","pathway_prior_projection"
"21","261","0.39118601829688165","pathway_prior_projection"
"21","262","0.39118601829688165","pathway_prior_projection"
"21","265","0.5542819785552677","pathway_prior_projection"
"21","266","0.42821916909859986","pathway_prior_projection"
"21","267","0.4511099452405155","pathway_prior_projection"
"21","268","0.3736105190674493","pathway_prior_projection"
"21","269","0.4250800625198107","pathway_prior_projection"
"21","271","0.4339279273371151","pathway_prior_projection"
"21","272","0.4339279273371151","pathway_prior_projection"
"21","273","0.4339279273371151","pathway_prior_projection"
"21","274","0.4339279273371151","pathway_prior_projection"
"21","278","0.4150654162704528","pathway_prior_projection"
"21","279","0.4665212971767714","pathway_prior_projection"
"21","281","0.3340492507459751","pathway_prior_projection"
"21","282","0.3340492507459751","pathway_prior_projection"
"21","283","0.3340492507459751","pathway_prior_projection"
"21","284","0.3340492507459751","pathway_prior_projection"
"21","285","0.3340492507459751","pathway_prior_projection"
"21","286","0.3340492507459751","pathway_prior_projection"
"21","287","0.5871889038266059","pathway_prior_projection"
"21","288","0.6006874993168726","pathway_prior_projection"
"21","289","0.46965620432035593","pathway_prior_projection"
"21","290","0.7078893005869429","pathway_prior_projection"
"21","296","0.4169754402072335","pathway_prior_projection"
"21","315","1.0","pathway_prior_projection"
"21","320","0.6657949962291373","pathway_prior_projection"
"21","321","0.4638587402039545","pathway_prior_projection"
"21","323","0.4169754402072335","pathway_prior_projection"
"21","324","0.7078893005869429","pathway_prior_projection"
"21","327","0.3412302849460603","pathway_prior_projection"
"21","329","0.46265206413745613","pathway_prior_projection"
"21","330","0.5189925004332978","pathway_prior_projection"
"21","331","0.5636182793936015","pathway_prior_projection"
"21","336","0.494245335606781","pathway_prior_projection"
"21","337","0.4887229344962893","pathway_prior_projection"
"21","338","0.5074925402498607","pathway_prior_projection"
"21","339","0.4400883693478047","pathway_prior_projection"
